[17:01:42] [INFO] Extracao iniciada!
[17:01:42] [INFO] Processando arquivo: 33230708924210000188550010000624521006245434.xml
[17:01:42] [INFO] Processando arquivo: 35230601510736000172550000000444101676036665.xml
[17:01:42] [INFO] Processando arquivo: 35230605005513000109550010001781311215083802.xml
[17:01:42] [INFO] Processando arquivo: 35230607279405000150550010000207071230613374.xml
[17:01:42] [INFO] Processando arquivo: 35230607282559000109550010002042031302402000.xml
[17:01:42] [INFO] Processando arquivo: 35230607282559000109550010002045821285402001.xml
[17:01:42] [INFO] Processando arquivo: 35230607576749000120550010002029251889401843.xml
[17:01:42] [INFO] Processando arquivo: 35230607576749000120550010002035481767739405.xml
[17:01:42] [INFO] Processando arquivo: 35230609198939000187550010000122141614715990.xml
[17:01:42] [INFO] Processando arquivo: 35230633044909000109550010000054261993001778.xml
[17:01:43] [INFO] Processando arquivo: 35230633044909000109550010000055021843796574.xml
[17:01:43] [INFO] Processando arquivo: 35230633150053000733550000002291501862000368.xml
[17:01:43] [INFO] Processando arquivo: 35230643037120000176550010000015691000104326.xml
[17:01:43] [INFO] Processando arquivo: 35230643235522000185550010002791741012904279.xml
[17:01:43] [INFO] Processando arquivo: 35230643455179000184550010002174191939706289.xml
[17:01:43] [INFO] Processando arquivo: 35230644909067000119550010000991011001243434.xml
[17:01:43] [INFO] Processando arquivo: 35230644909067000119550010000992201001246450.xml
[17:01:43] [INFO] Processando arquivo: 35230649293194000150550010000219811000657275.xml
[17:01:43] [INFO] Processando arquivo: 35230661048674000150550020003356211251043645.xml
[17:01:43] [INFO] Processando arquivo: 35230661048674000150550020003359151935114160.xml
[17:01:44] [INFO] Processando arquivo: 35230661048674000150550020003363751150526097.xml
[17:01:44] [INFO] Processando arquivo: 35230661252185000116550010002735701976589786.xml
[17:01:44] [INFO] Processando arquivo: 35230661252185000116550010002745121639841723.xml
[17:01:44] [INFO] Processando arquivo: 35230661597407000132550000000443691230023050.xml
[17:01:44] [INFO] Processando arquivo: 35230697837181002190550010040630841102227886.xml
[17:01:44] [INFO] Processando arquivo: 35230697837181002190550010040739321255432520.xml
[17:01:44] [INFO] Processando arquivo: 35230700337085000106550010000049511743153830.xml
[17:01:44] [INFO] Processando arquivo: 35230703846642000447550010002599051336415522.xml
[17:01:44] [INFO] Processando arquivo: 35230705037665000193550010000225081559612990.xml
[17:01:44] [INFO] Processando arquivo: 35230705037665000193550010000225541281566927.xml
[17:01:44] [INFO] Processando arquivo: 35230705293966000188550010047424851592424359.xml
[17:01:44] [INFO] Processando arquivo: 35230707133854000195550010000165821582803140.xml
[17:01:44] [INFO] Processando arquivo: 35230707282559000109550010002051891981502001.xml
[17:01:44] [INFO] Processando arquivo: 35230707576749000120550010002044891635584078.xml
[17:01:44] [INFO] Processando arquivo: 35230707576749000120550010002045661489899287.xml
[17:01:44] [INFO] Processando arquivo: 35230707576749000120550010002062201843459455.xml
[17:01:44] [INFO] Processando arquivo: 35230707576749000120550010002063591343142649.xml
[17:01:44] [INFO] Processando arquivo: 35230710573521000272550050000000681680224013.xml
[17:01:44] [INFO] Processando arquivo: 35230710573521000434550040000201231126893850.xml
[17:01:44] [INFO] Processando arquivo: 35230711001820000114550010000068671000107069.xml
[17:01:44] [INFO] Processando arquivo: 35230712036543000148550010000041651077474014.xml
[17:01:44] [INFO] Processando arquivo: 35230713627137000112550010000057771644988623.xml
[17:01:44] [INFO] Processando arquivo: 35230713627137000112550010000057951616643690.xml
[17:01:44] [INFO] Processando arquivo: 35230713627137000112550010000058351706900975.xml
[17:01:44] [INFO] Processando arquivo: 35230733044909000109550010000055541275724330.xml
[17:01:44] [INFO] Processando arquivo: 35230733044909000109550010000055751362980335.xml
[17:01:44] [INFO] Processando arquivo: 35230733044909000109550010000056091418880608.xml
[17:01:44] [INFO] Processando arquivo: 35230733044909000109550010000057501086675130.xml
[17:01:44] [INFO] Processando arquivo: 35230733044909000109550010000057711689565611.xml
[17:01:44] [INFO] Processando arquivo: 35230735205828000160550020000081981536662056.xml
[17:01:44] [INFO] Processando arquivo: 35230749934250001321550010006470941239152043.xml
[17:01:44] [INFO] Processando arquivo: 35230756541642000152550010000322281345517985.xml
[17:01:44] [INFO] Processando arquivo: 35230756541642000152550010000323971160885298.xml
[17:01:44] [INFO] Processando arquivo: 35230761048674000150550020003381441577223799.xml
[17:01:44] [INFO] Processando arquivo: 35230761048674000150550020003399951459343210.xml
[17:01:45] [INFO] Processando arquivo: 35230761252185000116550010002752471322122690.xml
[17:01:45] [INFO] Processando arquivo: 35230761252185000116550010002756011839248058.xml
[17:01:45] [INFO] Processando arquivo: 35230805037665000193550010000226181772975790.xml
[17:01:45] [INFO] Processando arquivo: 35230805037665000193550010000226781354807482.xml
[17:01:45] [INFO] Processando arquivo: 35230805037665000193550010000227051161098926.xml
